id	effectiveTime	active	moduleId	conceptId	languageCode	typeId	term	caseSignificanceId
211234567110	20170731	1	900000000000207008	111234567100	en	900000000000003001	Abiding woman imagine home unequal window (semantic tag)	900000000000448009
361234567110	20140630	1	900000000000207008	101234567100	en	900000000000013009	Academy mary inca echo unsuitable chicken 	900000000000017005
331234567110	20070731	1	81234567100	231234567100	en	900000000000003001	Acid kite jupiter under useful cheese (semantic tag)	900000000000017005
301234567110	20020131	1	900000000000012004	201234567100	en	900000000000003001	Atomic rufus lesson origami version ticket (semantic tag)	900000000000020002
281234567110	20020131	1	900000000000445007	181234567100	en	900000000000003001	Bind salt machine prime western (semantic tag)	900000000000020002
391234567110	20170731	1	900000000000012004	131234567100	en	900000000000013009	Candle horizon modern talent quest 	900000000000448009
271234567110	20020131	1	81234567100	171234567100	en	900000000000003001	Cling yak never prepare (semantic tag)	900000000000020002
471234567110	20020131	1	900000000000012004	211234567100	en	900000000000013009	Complain kick nuclear magnum 	900000000000017005
531234567110	20170731	1	900000000000445007	191234567100	en	900000000000013009	Copy dragon	900000000000017005
321234567110	20170731	1	81234567100	221234567100	en	900000000000003001	Diet sailor odd seashore (semantic tag)	900000000000448009
521234567110	20020131	1	900000000000445007	181234567100	en	900000000000013009	Dinner 	900000000000017005
511234567110	20020131	1	81234567100	251234567100	en	900000000000013009	Dysfunctional scale 	900000000000017005
261234567110	20170731	1	81234567100	161234567100	en	900000000000003001	Excellent ink (semantic tag)	900000000000448009
221234567110	20171031	1	900000000000012004	121234567100	en	900000000000003001	Exodus havana (semantic tag)	900000000000448009
491234567110	20170228	1	81234567100	231234567100	en	900000000000013009	Fast hand 	900000000000017005
351234567110	20171031	1	81234567100	251234567100	en	900000000000003001	Glue cherries (semantic tag)	900000000000448009
231234567110	20140630	1	900000000000012004	131234567100	en	900000000000003001	Hair numeric rinse (semantic tag)	900000000000017005
551234567110	20020131	0	900000000000012004	211234567100	en	900000000000013009	Index mobile death hall	900000000000017005
371234567110	20020131	1	900000000000207008	111234567100	en	900000000000013009	Jump 	900000000000017005
421234567110	20170731	1	81234567100	161234567100	en	900000000000013009	Legs 	900000000000448009
541234567110	20170731	0	900000000000012004	201234567100	en	900000000000013009	Ocean	900000000000017005
481234567110	20171031	1	81234567100	221234567100	en	900000000000013009	Parent impress 	900000000000448009
251234567110	20170731	1	81234567100	151234567100	en	900000000000003001	Patent pigment (semantic tag)	900000000000448009
241234567110	20170731	1	81234567100	141234567100	en	900000000000003001	Permit glove (semantic tag)	900000000000448009
571234567110	20170228	0	81234567100	231234567100	en	900000000000013009	Pierre Suzuki	900000000000017005
451234567110	20170731	1	900000000000445007	191234567100	en	900000000000013009	Queue 	900000000000448009
461234567110	20170731	1	900000000000012004	201234567100	en	900000000000013009	Region 	900000000000448009
561234567110	20171031	0	81234567100	221234567100	en	900000000000013009	Romeo user	900000000000017005
311234567110	20170731	1	900000000000012004	211234567100	en	900000000000003001	Rotten coach gaping (semantic tag)	900000000000448009
591234567110	20020131	0	81234567100	251234567100	en	900000000000013009	Sharon Stamp	900000000000017005
341234567110	20170731	1	81234567100	241234567100	en	900000000000003001	Sound caviar nippy ship (semantic tag)	900000000000448009
431234567110	20170731	1	81234567100	171234567100	en	900000000000013009	Storm bamboo belligerent scene 	900000000000448009
201234567110	20020131	0	900000000000207008	101234567100	en	900000000000003001	Stretch story malicious kiss (semantic tag)	900000000000020002
291234567110	20170731	1	900000000000445007	191234567100	en	900000000000003001	Stuart private (semantic tag)	900000000000448009
581234567110	20020131	0	81234567100	241234567100	en	900000000000013009	Student moral	900000000000017005
411234567110	20170731	1	81234567100	151234567100	en	900000000000013009	Suspect banana 	900000000000448009
401234567110	20170731	1	81234567100	141234567100	en	900000000000013009	Tonight libra 	900000000000448009
381234567110	20170731	1	900000000000012004	121234567100	en	900000000000013009	Total float 	900000000000448009
441234567110	20020131	1	900000000000445007	181234567100	en	900000000000013009	Traffic mono 	900000000000017005
501234567110	20020131	1	81234567100	241234567100	en	900000000000013009	Turn grandfather 	900000000000017005
